date,nov_load,ev_load,cov_load,orig_data
2021-06-27,671946068794002,220609602053590.4,2320736441715.135,TRUE
2021-06-28,690802332905956,230677181631017,2889173682223.6777,NA
2021-06-29,698397693146415.75,237708375596039.7,4106989981557.162,TRUE
2021-06-30,692977939803870.4,246867677245054.38,4958077954026.676,NA
2021-07-01,678972638772229.6,253853421864709.4,5468320502666.745,TRUE
2021-07-02,658202097236093,252661521560523.12,5747670752697.966,NA
2021-07-03,626735534431065.4,249021895134619.78,5715268397625.42,TRUE
2021-07-04,589247423440725.6,247639926660334.5,5704346228583.469,NA
2021-07-05,557197742659707.56,244346777375640.38,5769779530270.882,TRUE
2021-07-06,533314796903268.56,237205698410641.25,6052884814256.187,NA
2021-07-07,505605052369965.06,231329383534566.6,6590548933502.334,TRUE
2021-07-08,479804926646217.6,231510979327648.84,7366851049086.716,NA
2021-07-09,467130473666118.7,233841363237839.97,8266729494080.741,TRUE
2021-07-10,455487079460777.06,236833570321989.16,9336679312518.805,NA
2021-07-11,441501729152128.5,236497894685207.28,10619944246616.574,TRUE
2021-07-12,428951264623692.7,232747006660474.5,11855532884669.525,NA
2021-07-13,417037334773641.8,233067580510568.7,13084193887226.514,TRUE
2021-07-14,404550141221352,234318403686795.38,13970073299889.262,NA
2021-07-15,389558608406214.5,233330050255545.84,14492817548489.83,TRUE
2021-07-16,380125959667000.44,233087696265786.34,15223056240590.572,NA
2021-07-17,367095274893258.6,230922996810835.94,16255985906079.316,TRUE
2021-07-18,342665543592202.94,227940685703031.6,17105580345550.469,NA
2021-07-19,322175747629481.8,231054964483251.3,17041902074421.916,TRUE
2021-07-20,306250661476627.44,236827604181002,16275989925546.893,NA
2021-07-21,296644494845150.9,240094111499887.72,15823951284614.31,TRUE
2021-07-22,302842709367058.6,250173231841609.2,15741626025707.896,NA
2021-07-23,323024997857751.44,273069053100648.06,15919061023607.055,TRUE
2021-07-24,350574689279979.8,298692956850928.4,16510167462680.371,NA
2021-07-25,380817310550165,322339559019115.06,17181712551793.484,TRUE
2021-07-26,406969702553971.56,341840074455320.25,17779256546984.7,NA
2021-07-27,426303560476142.1,359131252029440.06,18161482936685.49,TRUE
2021-07-28,441455311269590.56,376804628984802.5,18346746913120.426,NA
2021-07-29,446688537347896.25,390067058741174.94,18350969315212.13,TRUE
2021-07-30,451050044917131,403787513247653.25,18630844993565.348,NA
2021-07-31,466634447946185.9,419452957447388.06,19139878904145.684,TRUE
2021-08-01,479560636499254.56,431310337213004.4,19083107725183.734,NA
2021-08-02,486051768692817.5,439446982211521.94,18721522868384.027,TRUE
2021-08-03,507864155289981.9,447933496561342.44,18684037050735.285,NA
2021-08-04,546207594671371.5,459911092811160.25,19306504226635.797,TRUE
2021-08-05,586919517774164.9,474894181366516.2,20544540847275.57,NA
2021-08-06,621936701259590.75,489897586178444.1,21827517305092.258,TRUE
2021-08-07,659104381220863,511429510767572,22967574174529.16,NA
2021-08-08,706223568150767.75,538385221321562.9,24450737654991.875,TRUE
2021-08-09,752570566233859.1,555036033721081.8,26261216012568.97,NA
2021-08-10,797520600998604.9,564820176936621.75,28187970414407.2,TRUE
2021-08-11,842311606940218.4,581255581879029.75,30234175130000.215,NA
2021-08-12,877458122426693,595023503146605.25,32343990285264.285,TRUE
2021-08-13,913744354271330.75,598754086480445.5,34171078896333.598,NA
2021-08-14,957786973511381.4,602535950306626.6,35561529778839.58,TRUE
2021-08-15,999709957364775.1,613612016493361.6,36659641374868.664,NA
2021-08-16,1046296464945847.5,634151070190538.4,37619853428382.555,TRUE
2021-08-17,1090428918124021.4,655125512126851.6,38664038618833.8,NA
2021-08-18,1129470889946382.8,673943805058973.4,39773841753997.81,TRUE
2021-08-19,1181774109551482.5,701834143595174.75,40615250184814.445,NA
2021-08-20,1238291770733248.5,733927555786360.25,40731569060678.95,TRUE
2021-08-21,1276955144994921.5,750274504314696.5,41772694374827.04,NA
2021-08-22,1311645342272307.8,756628043307558.6,44533589449028.11,TRUE
2021-08-23,1361642595111888.5,765817230815577.75,46209743246116.35,NA
2021-08-24,1405190592750557.2,773771462720352.1,46172243049103.02,TRUE
2021-08-25,1443630305422508,775375001178113,45906175613498.24,NA
2021-08-26,1491124302190562.8,771113435783319.9,45455924488112,TRUE
2021-08-27,1514680712665401.5,763741225232206.75,44662220526681.69,NA
2021-08-28,1506454300753810,746750166004145.6,43712923154764.016,TRUE
2021-08-29,1496395200488331.5,721026740062290.9,42835754729224.17,NA
2021-08-30,1495227107684411,702299631525977.25,42046506983973.6,TRUE
2021-08-31,1507299302635706.2,694242160187386.4,40968114943061.445,NA
2021-09-01,1507636211298586,677076205527335.75,39674534560971.78,TRUE
2021-09-02,1496237833673050,650801767545825.5,38165765837704.6,NA
2021-09-03,1472961882002817.8,624801545662632.4,36808684814108.48,TRUE
2021-09-04,1437808356287889,599075539877756.5,35603291490183.4,NA
2021-09-05,1412287321661678.8,566989743032092.25,34466588043225.176,TRUE
2021-09-06,1396398778124187.2,528544155125639.5,33398574473233.812,NA
2021-09-07,1389275401045583.2,498041438283946.2,32292740698279.312,TRUE
2021-09-08,1390917190425866.8,475481592507012.44,31149086718361.67,NA
2021-09-09,1378038958253767.5,445428381693583.8,30201241957452.543,TRUE
2021-09-10,1350640704529286,407881805843660.4,29449206415551.93,TRUE
2021-09-11,1330791157749181.5,382791402275075.3,27243084099424.117,NA
2021-09-12,1318490317913454.2,370157170987828.56,23582875009069.094,TRUE
2021-09-13,1324577424536554.2,364275921565910.94,21494826853999.047,NA
2021-09-14,1287268535033166.2,342182424059728.06,20638751601786.3,TRUE
2021-09-15,1243213138445393.8,325439471282050.6,19556147971984.906,NA
2021-09-16,1182694471620708.2,312533356381797.56,18403578516234.035,TRUE
2021-09-17,1155438698500881.8,303937572986469.1,17400298683842.56,NA
2021-09-18,1148239204708203.8,296240535969393.8,16394511804305.367,TRUE
2021-09-19,1140828726201201.8,290937979036143.5,15530148007958.762,NA
2021-09-20,1115344088642905.9,281473639349093.53,14544542787655.082,NA
2021-09-21,1087166318244183.9,273446577234943.34,13594356326192.322,NA
2021-09-22,1066274086612926.5,269985572808915.47,12928185182928.58,TRUE
2021-09-23,1056507790009825.9,268376506638891.1,12166376308866.092,TRUE
2021-09-24,1062612174168480.4,268878542085506.16,11608671802863.72,TRUE
2021-09-25,1091851255274760.1,269857591942427.06,11338890413492.807,TRUE
2021-09-26,1079936811066791.4,267782237225128.97,11098645897884.943,TRUE
2021-09-27,1050025058545680.6,265433154549318.06,10783885365500.627,TRUE
2021-09-28,1037574230480443.2,263315031574163.8,10478846049224.11,TRUE
2021-09-29,1035591621330728.5,256133028973061.7,10073310447946.975,TRUE
2021-09-30,1044660233044291.5,243536035735325.34,9721692666487.416,TRUE
2021-10-01,1049293884660406.8,238497582828567.34,9423992704845.432,TRUE
2021-10-02,1041363074926879.5,227237311191240.5,9180210563021.021,TRUE
2021-10-03,1052234672492016.5,215836589644846.66,9523944153605.809,TRUE
2021-10-04,1031172186221428.5,197178355151084.5,9398502883623.752,TRUE
2021-10-05,1058586342816478.4,198449996967169.88,9336813742328.125,TRUE
2021-10-06,1056343074575981.5,196415961432286.34,9480544520992.275,TRUE
2021-10-07,1085408952625802.9,195327323423547.94,9588580910908.918,TRUE
2021-10-08,1099189090915391.9,189545728910624.34,9696370587979.426,TRUE
2021-10-09,1123734519429018.9,185460076053000.78,9860017298327.785,TRUE
2021-10-10,1158661102031766.8,182564814637454.28,9656351318991.47,TRUE
